id,facility_type,target_facility_name,road_name,address,latitude,hardness,organization_name,police_station_name,whether_install,count_install,base_date
,유치원,밝은빛유치원,대전광역시 서구 가수원로65번길 44,대전광역시 서구 가수원동 641-36,36.29848127,127.3509035,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,밝은빛유치원,대전광역시 서구 가수원로65번길 44,대전광역시 서구 가수원동 641-36,36.29848127,127.3509035,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,나은유치원,대전광역시 서구 관저북로92,대전광역시 서구 관저동 984-1,36.30996365,127.3373001,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,나은유치원,대전광역시 서구 관저북로92,대전광역시 서구 관저동 984-1,36.30996365,127.3373001,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,나은유치원,대전광역시 서구 관저북로92,대전광역시 서구 관저동 984-1,36.30996365,127.3373001,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,나래유치원,대전광역시 서구 정림로 55,대전광역시 서구 정림동 704,36.30457173,127.3650811,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,나래유치원,대전광역시 서구 정림로 55,대전광역시 서구 정림동 704,36.30457173,127.3650811,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,나래유치원,대전광역시 서구 정림로 55,대전광역시 서구 정림동 704,36.30457173,127.3650811,대전광역시 서구청,서부경찰서,Y,1,2022-04-27
,유치원,구봉사랑유치원,대전광역시 서구 관저서로 70,대전광역시 서구 관저동 1167,36.2986714,127.3296973,대전광역시 서구청,서부경찰서,N,0,2022-04-27
,유치원,구봉사랑유치원,대전광역시 서구 관저서로 70,대전광역시 서구 관저동 1167,36.2986714,127.3296973,대전광역시 서구청,서부경찰서,N,0,2022-04-27
,유치원,구봉사랑유치원,대전광역시 서구 관저서로 70,대전광역시 서구 관저동 1167,36.2986714,127.3296973,대전광역시 서구청,서부경찰서,N,0,2022-04-27
,유치원,도담유치원,대전광역시 서구 정림서로138번길 21,,36.30033715,127.3637556,대전광역시 서구청,서부경찰서,N,0,2022-04-27
,유치원,도담유치원,대전광역시 서구 정림서로138번길 21,,36.30033715,127.3637556,대전광역시 서구청,서부경찰서,N,0,2022-04-27
